1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,2
35,2
36,3
37,2
38,4
39,2
40,4
41,3
42,4
43,2
44,6
45,2
46,4
47,4
48,5
49,2
50,6
51,2
52,6
53,4
54,4
55,2
56,8
57,3
58,4
59,4
60,6
61,2
62,8
63,2
64,0
65,2
66,3
67,4
68,4
69,4
70,6
71,4
72,5
73,6
74,6
75,4
76,8
77,4
78,6
79,8
80,6
81,2
82,7
83,2
84,6
85,6
86,4
87,2
88,8
89,4
90,4
91,6
92,6
93,2
94,10
95,2
96,0
97,2
98,4
99,3
100,6
101,4
102,6
103,4
104,8
105,4
106,8
107,2
108,7
109,2
110,6
111,4
112,8
113,2
114,6
115,2
116,10
117,4
118,4
119,2
120,8
121,4
122,4
123,3
124,8
125,2
126,8
127,2
128,0
129,3
130,4
131,6
132,5
133,6
134,8
135,6
136,6
137,7
138,6
139,4
140,8
141,4
142,6
143,10
144,5
145,2
146,8
147,2
148,6
149,8
150,4
151,2
152,8
153,5
154,4
155,6
156,6
157,2
158,10
159,2
160,0
161,2
162,4
163,4
164,6
165,3
166,8
167,2
168,6
169,4
170,4
171,2
172,10
173,2
174,4
175,4
176,6
177,2
178,8
179,2
180,5
181,4
182,4
183,2
184,10
185,2
186,4
187,4
188,6
189,2
190,6
191,2
192,0
193,4
194,6
195,6
196,8
197,8
198,7
199,6
200,8
201,6
202,10
203,4
204,8
205,4
206,8
207,8
208,8
209,2
210,6
211,2
212,10
213,6
214,4
215,2
216,7
217,6
218,4
219,4
220,8
221,2
222,8
223,2
224,0
225,2
226,4
227,4
228,6
229,2
230,6
231,1
232,6
233,4
234,4
235,2
236,8
237,2
238,2
239,4
240,6
241,2
242,6
243,2
244,6
245,2
246,4
247,2
248,8
249,2
250,4
251,4
252,3
253,2
254,6
255,2
256,0
257,4
258,5
259,8
260,6
261,6
262,8
263,6
264,5
265,8
266,6
267,4
268,8
269,4
270,6
271,10
272,4
273,2
274,7
275,2
276,6
277,8
278,4
279,2
280,6
281,4
