1,2,2,3,2,4,2,4,3,4,2,6,2,4,4,5,2,6,2,6,4,4,2,8,3,4,4,6,2,8,2,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
3,6,6,9,6,12,6,12,9,12,6,18,6,12,12,15,6,18,6,18,12,12,6,24,9,12,12,18,6,24,6,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
3,6,6,9,6,12,6,12,9,12,6,18,6,12,12,15,6,18,6,18,12,12,6,24,9,12,12,18,6,24,6,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
6,12,12,18,12,24,12,24,18,24,12,36,12,24,24,30,12,36,12,36,24,24,12,48,18,24,24,36,12,48,12,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
5,10,10,15,10,20,10,20,15,20,10,30,10,20,20,25,10,30,10,30,20,20,10,40,15,20,20,30,10,40,10,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
6,12,12,18,12,24,12,24,18,24,12,36,12,24,24,30,12,36,12,36,24,24,12,48,18,24,24,36,12,48,12,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
6,12,12,18,12,24,12,24,18,24,12,36,12,24,24,30,12,36,12,36,24,24,12,48,18,24,24,36,12,48,12,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
8,16,16,24,16,32,16,32,24,32,16,48,16,32,32,40,16,48,16,48,32,32,16,64,24,32,32,48,16,64,16,
3,6,6,9,6,12,6,12,9,12,6,18,6,12,12,15,6,18,6,18,12,12,6,24,9,12,12,18,6,24,6,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
4,8,8,12,8,16,8,16,12,16,8,24,8,16,16,20,8,24,8,24,16,16,8,32,12,16,16,24,8,32,8,
6,12,12,18,12,24,12,24,18,24,12,36,12,24,24,30,12,36,12,36,24,24,12,48,18,24,24,36,12,48,12,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
8,16,16,24,16,32,16,32,24,32,16,48,16,32,32,40,16,48,16,48,32,32,16,64,24,32,32,48,16,64,16,
2,4,4,6,4,8,4,8,6,8,4,12,4,8,8,10,4,12,4,12,8,8,4,16,6,8,8,12,4,16,4,
