0,0,0,1,0,1,0,1,1,1,0,2,0,1,1,2,0,2,0,2,1,1,0,3,1,1,1,2,0,3,0,2,1,1,1,4,0,1,1,3,0,3,0,2,2,1,0,4,1,2,1,2,0,3,1,3,1,1,0,5,0,1,2,3,1,3,0,2,1,3,0,5,0,1,2,2,1,3,0,4,2,1,0,5,1,1,1,3,0,5,1,2,1,1,1,5,0,2,2,4,0,3,0,3,3,1,0,5,0,3,1,4,0,3,1,2,2,1,1,7,1,1,1,2,1,5,0,
0,1,1,1,1,2,1,2,2,2,1,3,1,2,3,2,1,4,1,3,3,2,1,4,2,2,3,3,1,5,1,3,3,2,3,5,1,2,3,4,1,5,1,3,5,2,1,5,2,4,3,3,1,5,3,4,3,2,1,7,1,2,5,3,3,5,1,3,3,5,1,7,1,2,5,3,3,5,1,5,4,2,1,7,3,2,3,4,1,8,3,3,3,2,3,6,1,4,5,5,1,5,1,4,7,2,1,7,1,5,3,5,1,5,3,3,5,2,3,9,2,2,3,3,3,8,1,
0,1,1,2,1,2,1,3,1,3,1,4,1,3,2,4,1,3,1,5,2,3,1,5,2,3,2,5,1,5,1,5,2,3,3,5,1,3,2,7,1,5,1,5,3,3,1,7,2,5,2,5,1,4,3,7,2,3,1,8,1,3,3,6,3,5,1,5,2,7,1,7,1,3,4,5,3,5,1,9,2,3,1,8,3,3,2,7,1,7,3,5,2,3,3,8,1,5,3,8,1,5,1,7,5,3,1,7,1,7,2,9,1,5,3,5,3,3,3,11,2,3,2,5,3,7,1,
1,1,2,2,2,3,2,2,4,3,2,4,2,3,5,3,2,5,2,4,5,3,2,5,4,3,5,4,2,7,2,3,5,3,5,7,2,3,5,5,2,7,2,4,8,3,2,6,4,5,5,4,2,7,5,5,5,3,2,9,2,3,8,4,5,7,2,4,5,7,2,8,2,3,8,4,5,7,2,6,7,3,2,9,5,3,5,5,2,11,5,4,5,3,5,7,2,5,8,7,2,7,2,5,11,3,2,9,2,7,5,6,2,7,5,4,8,3,5,11,4,3,5,4,5,11,2,
0,1,1,2,1,3,1,3,2,2,1,5,1,3,2,4,1,5,1,4,3,3,1,7,1,3,3,5,1,5,1,5,3,3,2,8,1,3,3,5,1,7,1,5,4,3,1,9,2,3,3,5,1,7,2,7,3,3,1,8,1,3,5,6,2,7,1,5,3,5,1,11,1,3,3,5,3,7,1,7,4,3,1,11,2,3,3,7,1,8,3,5,3,3,2,11,1,5,5,5,1,7,1,7,5,3,1,11,1,5,3,9,1,7,2,5,5,3,3,11,2,3,3,5,2,11,1,
1,2,2,3,3,4,3,4,3,5,3,5,3,5,5,5,3,5,3,7,5,5,3,7,5,5,4,7,3,8,3,6,5,5,7,7,3,5,5,9,3,8,3,7,7,5,3,8,5,8,5,7,3,7,7,9,5,5,3,11,3,5,7,7,7,8,3,7,5,11,3,9,3,5,8,7,7,8,3,11,5,5,3,11,7,5,5,9,3,11,7,7,5,5,7,10,3,8,7,11,3,8,3,9,11,5,3,9,3,11,5,11,3,8,7,7,7,5,7,14,5,5,5,7,7,11,3,
0,1,1,2,1,3,1,3,2,3,1,5,1,2,3,4,1,5,1,5,2,3,1,7,2,3,3,4,1,7,1,5,3,3,2,8,1,3,3,7,1,5,1,5,5,3,1,9,1,5,3,5,1,7,3,5,3,3,1,11,1,3,4,6,3,7,1,5,3,5,1,11,1,3,5,5,2,7,1,9,4,3,1,8,3,3,3,7,1,11,2,5,3,3,3,11,1,3,5,8,1,7,1,7,5,3,1,11,1,7,3,7,1,7,3,5,5,3,2,15,2,3,3,5,3,8,1,
1,2,3,2,3,4,3,3,5,4,3,5,3,4,7,3,3,7,3,5,7,4,3,6,5,4,7,5,3,9,3,4,7,4,7,8,3,4,7,6,3,9,3,5,11,4,3,7,5,7,7,5,3,9,7,6,7,4,3,11,3,4,11,4,7,9,3,5,7,9,3,10,3,4,11,5,7,9,3,7,9,4,3,11,7,4,7,6,3,14,7,5,7,4,7,8,3,7,11,8,3,9,3,6,15,4,3,11,3,9,7,7,3,9,7,5,11,4,7,13,5,4,7,5,7,14,3,
1,2,1,4,2,3,2,5,2,5,2,5,2,5,3,7,2,4,2,8,3,5,2,7,4,5,2,8,2,7,2,8,3,5,5,7,2,5,3,11,2,7,2,8,4,5,2,9,4,8,3,8,2,5,5,11,3,5,2,11,2,5,4,10,5,7,2,8,3,11,2,9,2,5,5,8,5,7,2,14,3,5,2,11,5,5,3,11,2,9,5,8,3,5,5,11,2,8,4,13,2,7,2,11,7,5,2,8,2,11,3,14,2,7,5,8,4,5,5,15,4,5,3,8,5,9,2,
1,2,3,3,2,5,3,4,5,4,3,7,3,5,5,5,3,8,3,5,7,5,3,9,3,5,7,7,3,8,3,6,7,5,5,11,3,5,7,7,3,11,3,7,8,5,3,11,5,5,7,7,3,11,5,9,7,5,3,11,3,5,11,7,5,11,3,7,7,8,3,14,3,5,7,7,7,11,3,8,9,5,3,15,5,5,7,9,3,13,7,7,7,5,5,13,3,8,11,7,3,11,3,9,11,5,3,15,3,8,7,11,3,11,5,7,11,5,7,14,5,5,7,7,4,17,3,
